Time,Channel A,Channel B
(s),(mV),(V)

1027.60005359,17.17739000,-0.01220852
1027.73338693,18.14797000,0.00000000
1027.86672027,17.28116000,-0.01220852
1028.00005361,17.17739000,-0.02197534
1028.13338695,18.11134000,-0.02197534
1028.26672029,17.25064000,-0.02197534
1028.40005364,17.52533000,0.01953363
1028.53338698,18.21511000,0.00976682
1028.66672032,17.14687000,0.00000000
1028.80005366,17.42156000,0.00976682
1028.93338700,18.28226000,-0.02197534
1029.06672034,17.31779000,0.00976682
1029.20005368,17.31779000,-0.02197534
1029.33338702,18.04420000,0.00976682
1029.46672036,17.11024000,0.00000000
1029.60005370,17.42156000,-0.02197534
1029.73338704,18.21511000,-0.01220852
1029.86672038,16.93932000,0.00000000
1030.00005372,17.28116000,-0.01220852
1030.13338706,18.14797000,0.00000000
1030.26672040,17.07362000,0.00976682
1030.40005374,17.35441000,-0.02197534
1030.53338708,18.14797000,0.00976682
1030.66672042,17.04310000,0.00000000
1030.80005376,17.48871000,0.00976682
1030.93338710,18.17849000,0.00000000
1031.06672044,17.11024000,0.00000000
1031.20005378,17.69625000,-0.02197534
1031.33338712,18.04420000,-0.01220852
1031.46672046,17.07362000,-0.02197534
1031.60005380,17.52533000,-0.01220852
1031.73338714,18.00757000,-0.01220852
1031.86672048,17.07362000,-0.01220852
1032.00005382,17.59248000,0.00000000
1032.13338716,18.14797000,0.00976682
1032.26672050,17.04310000,0.00000000
1032.40005384,17.59248000,0.00000000
1032.53338718,17.90380000,0.00976682
1032.66672052,17.04310000,0.00000000
1032.80005386,17.69625000,-0.01220852
1032.93338721,17.90380000,-0.03174216
1033.06672055,17.11024000,0.00000000
1033.20005389,17.56196000,-0.02197534
1033.33338723,17.97094000,-0.01220852
1033.46672057,16.93932000,-0.01220852
1033.60005391,17.56196000,0.00000000
1033.73338725,17.86717000,0.00976682
1033.86672059,17.04310000,-0.01220852
1034.00005393,17.62910000,-0.01220852
1034.13338727,17.94042000,0.01953363
1034.26672061,16.86607000,-0.02197534
1034.40005395,17.62910000,-0.02197534
1034.53338729,17.83665000,-0.03174216
1034.66672063,17.07362000,0.00000000
1034.80005397,17.69625000,0.00000000
1034.93338731,17.83665000,0.00000000
1035.06672065,16.93932000,0.00000000
1035.20005399,17.69625000,0.00976682
1035.33338733,17.83665000,-0.01220852
1035.46672067,17.04310000,-0.03174216
1035.60005401,17.62910000,-0.02197534
1035.73338735,17.83665000,-0.01220852
1035.86672069,17.07362000,0.01953363
1036.00005403,17.56196000,-0.01220852
1036.13338737,17.80002000,0.00000000
1036.26672071,16.83555000,0.00976682
